打率.221,試合85,打席270,打数235,得点17,安打52,内安6,内安率11.5,２Ｂ9,３Ｂ0,本塁3,HR勝敗1-2-0,塁打70,打点21,三振63
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,1,3,16,2,0,1,0.0,3,3,6,.302,.272,.298,.570
