球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,429,43.6%,147.2,41,70,104,140,50.1%,18.7%,.214,98,21,1,30,7,1
スライダー,138,14.0%,130.0,14,47,18,37,57.2%,25.9%,.167,24,4,2,5,0,0
カットボール,102,10.4%,136.9,6,10,26,26,41.2%,9.1%,.194,31,6,0,2,2,0
フォーク,80,8.1%,134.7,16,9,18,27,53.8%,36.4%,.286,21,6,0,11,0,0
チェンジアップ,68,6.9%,130.3,9,9,7,24,36.8%,25.7%,.227,22,5,0,4,2,1
カーブ,60,6.1%,117.2,5,23,7,21,58.3%,31.3%,.200,5,1,0,2,1,0
ツーシーム,53,5.4%,141.8,7,2,10,17,35.8%,20.6%,.250,20,5,0,4,1,1
シュート,20,2.0%,146.4,1,2,6,6,45.0%,8.3%,.400,5,2,0,1,0,0
スプリット,18,1.8%,137.6,2,0,4,7,33.3%,18.2%,.333,6,2,0,1,0,0
ナックルカーブ,8,0.8%,124.5,1,2,0,5,37.5%,100.0%,.000,1,0,0,1,0,0
縦スライダー,3,0.3%,131.7,0,3,0,0,100.0%,-%,-,0,0,0,0,0,0
シンカー,3,0.3%,126.0,1,0,1,1,66.7%,50.0%,.000,1,0,0,1,0,0
パワーカーブ,1,0.1%,123.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
