チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,0.0,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0
日本ハム,0.0,3,10,9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0
ロッテ,0.0,3,7,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.286,0.0,0.286
楽天,0.545,3,12,11,1,6,3,0,0,9,1,3,0,0,0,1,0,0,0,1,0.545,0.818,1.364
オリックス,0.222,3,10,9,0,2,0,0,0,2,2,3,0,0,0,1,0,0,0,0,0.222,0.222,0.444
西武,0.286,3,8,7,1,2,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0.286,0.429,0.714
