左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
50.0% (85),50.0% (85),50.0% (85),18.8% (32),18.8% (32),18.8% (32),31.2% (53),31.2% (53),31.2% (53)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
55.1% (27),100.0% (3),46.6% (55),22.4% (11),0.0% (0),17.8% (21),22.4% (11),0.0% (0),35.6% (42)
