連続項目,フラグ (現状値 / 最高値)
安打,0打席 / 5打席
本塁打,0打席 / 1打席
無安打,13打席 / 35打席
三振,0打席 / 2打席
無三振,2打席 / 11打席
出塁,0打席 / 5打席
