条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.2,180,155,31,5,0,3,44,7,3,13,2
対左投手,0.263,90,80,21,4,0,0,19,7,0,3,0
