左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
40.7% (22),40.7% (22),40.7% (22),16.7% (9),16.7% (9),16.7% (9),42.6% (23),42.6% (23),42.6% (23)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
36.4% (4),- (0),41.9% (18),36.4% (4),- (0),11.6% (5),27.3% (3),- (0),46.5% (20)
