NOI233.5,GPA.123,RC-0.35,RC27-0.14,XR0.46,XR270.19,RCAA-7.48,XR+-6.70,RCWIN-0.88,XRWIN-0.79,BABIP.193
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.021,37.50,4.69,0.028,-,0.028,0.203,-,24.0%,
