HQS率-,SQS率-,被打率.222,被BABIP.256,被出塁率.271,被長打率.407,K/BB3.50,K/98.59,BB/92.45,HR/91.23,GO/AO0.93,援護率-,IPR2.44,NHB%35.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.25,75.8%,-0.68,-0.08,-1.16,64,4.0,0,0,14.2,6,5,10,
