左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
49.3% (34),49.3% (34),49.3% (34),24.6% (17),24.6% (17),24.6% (17),26.1% (18),26.1% (18),26.1% (18)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
50.0% (10),85.7% (6),42.9% (18),35.0% (7),0.0% (0),23.8% (10),15.0% (3),14.3% (1),33.3% (14)
