打率.255,試合35,打席112,打数106,得点11,安打27,内安3,内安率11.1,２Ｂ2,３Ｂ0,本塁7,HR勝敗3-2-0,塁打50,打点24,三振37
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
5,0,0,0,1,1,1,50.0,0,0,3,.290,.286,.472,.757
