球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,26,33.8%,146.6,4,5,6,8,57.7%,30.8%,.333,6,2,0,3,1,0
カットボール,14,18.2%,139.6,6,1,2,5,64.3%,75.0%,.000,1,0,0,1,0,0
フォーク,10,13.0%,136.7,1,0,3,4,40.0%,16.7%,.000,2,0,0,0,0,0
スライダー,9,11.7%,129.9,2,1,2,3,55.6%,40.0%,.000,2,0,0,1,0,0
チェンジアップ,6,7.8%,118.7,1,2,0,1,50.0%,33.3%,.000,2,0,0,0,0,0
ツーシーム,4,5.2%,139.0,0,1,1,1,50.0%,0.0%,1.000,1,1,0,0,0,0
シュート,3,3.9%,144.7,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,2,2.6%,148.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
縦スライダー,1,1.3%,104.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
カーブ,1,1.3%,114.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
スローボール,1,1.3%,80.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
