チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ソフトバンク,0.0,4,0,4,0,0,0,0,0,0,0,0,6.1,6,0,7,1,0,0,0,1.11,0.25,-,99.0
日本ハム,0.0,3,0,3,0,0,0,0,0,0,0,0,5.2,2,0,7,2,0,0,0,0.71,0.118,-,99.0
ロッテ,1.8,4,0,4,0,0,0,0,0,0,0,0,5.0,7,0,2,2,0,2,1,1.8,0.35,-,2.5
楽天,1.8,5,0,5,0,1,0,0,0,0,0,1,5.0,4,0,4,2,0,1,1,1.2,0.222,-,5.0
オリックス,2.25,4,0,4,0,1,0,0,0,0,0,1,4.0,2,1,3,2,0,1,1,1.0,0.167,-,4.0
