条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.196,56,51,10,0,0,1,15,4,0,0,1
対左打者,0.275,45,40,11,2,0,0,8,5,0,0,0
