球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,199,44.4%,144.4,17,37,51,68,52.8%,18.1%,0.194,36,7,1,10,4,0
スライダー,105,23.4%,128.1,15,16,22,35,50.5%,27.8%,0.24,25,6,0,8,2,0
カットボール,65,14.5%,139.7,6,10,18,19,52.3%,16.7%,0.333,12,4,0,1,1,0
フォーク,46,10.3%,132.6,6,3,4,27,28.3%,37.5%,0.111,9,1,0,3,1,0
カーブ,24,5.4%,116.4,2,3,2,13,29.2%,25.0%,0.2,5,1,0,1,0,0
チェンジアップ,9,2.0%,135.6,0,1,1,3,22.2%,0.0%,0.5,4,2,0,0,0,0
