HQS率-,SQS率-,被打率.140,被BABIP.179,被出塁率.279,被長打率.211,K/BB1.89,K/98.66,BB/94.58,HR/90.51,GO/AO0.52,援護率-,IPR5.89,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.42,90.9%,3.57,0.41,2.97,63,2.2,0,0,17.2,3,4,14,
