NOI382.5,GPA.201,RC2.44,RC272.53,XR2.70,XR272.81,RCAA-1.01,XR+-0.78,RCWIN-0.12,XRWIN-0.09,BABIP.350
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.060,17.50,2.92,0.065,-,0.129,0.480,-,40.0%,
