左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
46.5% (128),46.5% (128),46.5% (128),24.0% (66),24.0% (66),24.0% (66),29.5% (81),29.5% (81),29.5% (81)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
42.4% (36),88.9% (8),46.4% (84),41.2% (35),11.1% (1),16.6% (30),16.5% (14),0.0% (0),37.0% (67)
