アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,71,26.0%,安打,94,76.4%
フライ,113,41.4%,四死球,25,20.3%
空三振,72,26.4%,失策出塁,4,3.3%
見三振,17,6.2%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
