打率.255,試合105,打席396,打数368,得点23,安打94,内安5,内安率5.3,２Ｂ21,３Ｂ1,本塁9,HR勝敗6-2-1,塁打144,打点41,三振89
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
23,2,2,0,3,0,0,-,7,0,11,.247,.301,.391,.692
