NOI430.9,GPA.233,RC40.77,RC273.82,XR40.61,XR273.81,RCAA3.13,XR+2.77,RCWIN0.37,XRWIN0.33,BABIP.311
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.26,0.045,17.22,4.45,0.136,40.89,0.198,0.593,0.00,30.6%,
