防御率3.70,試合19,先発18,救援1,連投(試)0,連投(日)0,勝利7,敗戦7,HLD0,Ｓ0,ＨＰ1,ＳＰ1,救勝1,救敗0,完投1,完封1,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,107.0,459,1705,15.9,118,8,76,27,0,3,1,0,48,44,1.36,50.0%
