HQS率16.7%,SQS率16.7%,被打率.282,被BABIP.323,被出塁率.338,被長打率.403,K/BB2.42,K/96.54,BB/92.70,HR/90.85,GO/AO0.85,援護率2.41,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.51,62.2%,-16.46,-1.90,-15.61,230,0.0,71,19,0.0,0,0,0,
