左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
48.3% (83),48.3% (83),48.3% (83),24.4% (42),24.4% (42),24.4% (42),27.3% (47),27.3% (47),27.3% (47)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
46.9% (23),100.0% (3),47.5% (57),32.7% (16),0.0% (0),21.7% (26),20.4% (10),0.0% (0),30.8% (37)
