NOI0.0,GPA.000,RC-0.75,RC27-2.02,XR-0.67,XR27-1.81,RCAA-1.70,XR+-1.63,RCWIN-0.20,XRWIN-0.19,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.50,0.000,-,0.000,0.000,-,40.0%,
