条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,6,0,0,1,0,0,2,1,0,0,0,0,10
敗戦,4,8,1,3,1,10,0,0,0,0,0,0,27
勝敗無,6,3,1,2,0,2,0,0,0,0,0,0,14
