打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,96,20,0.208,0,11,10,0,0,0.283
2打席目,93,27,0.29,2,18,11,1,1,0.362
3打席目,97,28,0.289,0,14,8,1,0,0.343
4打席目,89,25,0.281,1,13,10,0,1,0.35
5打席目以上,28,11,0.393,0,7,7,0,1,0.5
