NOI465.9,GPA.245,RC52.23,RC274.59,XR51.68,XR274.54,RCAA8.99,XR+8.20,RCWIN1.06,XRWIN0.97,BABIP.320
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.65,0.072,11.10,7.22,0.074,134.67,0.188,0.639,4.36,23.5%,
