条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,1,0,0,0,1,0,0,0,0,0,0,2
敗戦,0,2,0,3,10,2,2,0,0,0,0,0,19
勝敗無,0,1,0,0,0,3,5,0,1,0,0,0,10
