アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,109,42.7%,安打,78,83.9%
フライ,89,34.9%,四死球,12,12.9%
空三振,30,11.8%,失策出塁,2,2.2%
見三振,19,7.5%,野選,1,1.1%
犠打,8,3.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
