種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,2.51,5,4,1,2,1,0,0,0,0,0,0,28.2,23,2,17,5,0,8,8,0.98,0.228,2.33,-
Visitor,3.34,9,9,0,2,2,0,0,0,0,0,0,59.1,55,6,32,7,0,23,22,1.04,0.244,3.74,-
