HQS率46.2%,SQS率46.2%,被打率.239,被BABIP.258,被出塁率.265,被長打率.344,K/BB4.08,K/95.01,BB/91.23,HR/90.82,GO/AO1.22,援護率3.33,IPR99.00,NHB%100.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.15,74.9%,0.94,0.11,-0.94,304,0.0,92,34,0.2,0,1,1,
