アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,35,28.2%,安打,33,57.9%
フライ,63,50.8%,四死球,21,36.8%
空三振,19,15.3%,失策出塁,2,3.5%
見三振,3,2.4%,野選,1,1.8%
犠打,4,3.2%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
