条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.24,90,75,18,5,0,2,9,10,1,2,2
対左打者,0.195,91,77,15,4,1,2,13,8,2,2,2
