HQS率0.0%,SQS率0.0%,被打率.217,被BABIP.223,被出塁率.305,被長打率.368,K/BB1.22,K/94.68,BB/93.83,HR/90.85,GO/AO0.56,援護率0.00,IPR2.37,NHB%39.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.34,76.4%,-1.27,-0.15,-2.70,187,13.0,3,0,40.1,17,16,31,
