打率.224,試合63,打席161,打数143,得点16,安打32,内安3,内安率9.4,２Ｂ3,３Ｂ0,本塁4,HR勝敗3-0-0,塁打47,打点19,三振31
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
4,0,4,8,2,0,0,-,0,4,3,.214,.261,.329,.590
