打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.24,20,55,50,6,12,2,0,3,23,12,9,1,0,1,3,0,0,0,0,0.269,0.46,0.729
Nighter,0.215,43,106,93,10,20,1,0,1,24,7,22,3,0,3,5,2,0,0,0,0.257,0.258,0.515
