球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,27,33.3%,144.1,5,3,6,9,51.9%,33.3%,.286,7,2,0,3,0,0
スライダー,13,16.0%,126.1,5,3,1,4,69.2%,83.3%,.000,3,0,0,3,0,0
カットボール,11,13.6%,137.0,2,1,3,4,54.5%,33.3%,.000,2,0,0,1,1,0
フォーク,8,9.9%,135.3,3,0,3,2,75.0%,50.0%,.000,2,0,0,2,0,0
カーブ,6,7.4%,116.0,0,3,1,2,66.7%,0.0%,-,0,0,0,0,0,0
シンカー,6,7.4%,126.2,1,0,1,2,33.3%,25.0%,.500,2,1,0,0,0,0
チェンジアップ,3,3.7%,128.7,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
縦スライダー,2,2.5%,123.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スプリット,2,2.5%,139.5,1,0,0,1,50.0%,100.0%,-,0,0,0,0,0,0
ナックルカーブ,1,1.2%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
シュート,1,1.2%,151.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
ツーシーム,1,1.2%,143.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
