HQS率-,SQS率-,被打率.429,被BABIP.600,被出塁率.500,被長打率.714,K/BB2.00,K/910.80,BB/95.40,HR/90.00,GO/AO1.00,援護率-,IPR0.56,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.14,25.0%,-2.38,-0.28,-2.44,5,0.1,0,0,1.2,3,0,1,
