打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,82,21,0.256,0,15,5,5,1,0.295
2打席目,83,22,0.265,1,14,4,5,1,0.295
3打席目,71,15,0.211,0,6,4,5,0,0.253
4打席目,32,5,0.156,0,8,4,5,0,0.25
5打席目以上,3,0,0.0,0,1,0,0,0,0.0
