NOI373.5,GPA.198,RC21.86,RC272.39,XR22.34,XR272.44,RCAA-9.55,XR+-9.43,RCWIN-1.10,XRWIN-1.09,BABIP.269
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.045,21.27,7.09,0.065,278.00,0.119,0.446,1.75,19.1%,
