球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,594,47.9%,146.7,13,153,112,185,46.8%,5.1%,.244,131,32,1,14,8,2
スライダー,199,16.0%,130.2,21,42,33,69,48.2%,23.9%,.211,38,8,0,8,3,0
カットボール,125,10.1%,138.5,12,22,22,41,44.8%,19.4%,.069,29,2,0,4,0,0
チェンジアップ,97,7.8%,128.1,12,12,18,34,43.3%,23.5%,.333,27,9,0,6,2,0
フォーク,83,6.7%,135.4,12,9,13,31,41.0%,27.9%,.231,26,6,0,8,0,0
カーブ,59,4.8%,117.8,6,18,8,23,54.2%,33.3%,.200,5,1,0,2,0,0
ツーシーム,39,3.1%,140.3,1,10,2,15,33.3%,7.1%,.250,12,3,0,2,1,1
シュート,20,1.6%,140.9,1,6,4,4,55.0%,10.0%,.167,6,1,0,1,0,0
ナックルカーブ,10,0.8%,122.6,0,0,2,6,20.0%,0.0%,.000,2,0,0,0,0,0
スプリット,7,0.6%,140.5,0,0,1,5,14.3%,0.0%,1.000,1,1,0,0,0,0
シンカー,5,0.4%,135.2,0,0,1,3,20.0%,0.0%,1.000,1,1,0,0,0,0
縦スライダー,2,0.2%,128.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
