HQS率-,SQS率-,被打率.181,被BABIP.227,被出塁率.252,被長打率.271,K/BB2.43,K/97.29,BB/93.00,HR/90.21,GO/AO0.68,援護率-,IPR4.67,NHB%48.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.39,80.3%,6.25,0.74,4.87,266,6.0,0,0,42.0,9,22,38,
