防御率1.93,試合45,先発0,救援45,連投(試)0,連投(日)0,勝利2,敗戦0,HLD12,Ｓ0,ＨＰ14,ＳＰ2,救勝2,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,42.0,162,628,15.0,26,1,34,14,1,0,1,0,9,9,0.95,-
