HQS率0.0%,SQS率0.0%,被打率.365,被BABIP.371,被出塁率.414,被長打率.565,K/BB1.00,K/92.93,BB/92.93,HR/90.98,GO/AO0.91,援護率3.94,IPR99.00,NHB%100.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.61,51.2%,-17.96,-2.11,-15.86,113,0.0,32,14,0.1,0,1,1,
