防御率5.74,試合12,先発0,救援12,連投(試)1,連投(日)1,勝利1,敗戦1,HLD1,Ｓ0,ＨＰ2,ＳＰ1,救勝1,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,15.2,63,206,13.1,18,1,9,1,0,0,0,0,10,10,1.21,-
