HQS率-,SQS率-,被打率.300,被BABIP.333,被出塁率.306,被長打率.417,K/BB9.00,K/95.17,BB/90.57,HR/90.57,GO/AO1.13,援護率-,IPR1.57,NHB%33.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.64,51.1%,-4.31,-0.51,-4.83,67,8.1,0,0,15.2,10,4,7,
