アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,18,40.9%,安打,18,94.7%
フライ,16,36.4%,四死球,1,5.3%
空三振,7,15.9%,失策出塁,0,0.0%
見三振,2,4.5%,野選,0,0.0%
犠打,1,2.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
