球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,419,38.4%,147.4,46,70,98,146,51.1%,22.7%,.221,86,19,5,27,4,4
スライダー,153,14.0%,131.0,35,17,19,60,46.4%,46.1%,.242,33,8,2,11,3,1
カットボール,138,12.7%,137.1,37,10,30,43,55.8%,43.5%,.207,29,6,0,11,2,1
チェンジアップ,103,9.4%,131.4,35,11,8,40,52.4%,67.3%,.227,22,5,1,13,2,0
フォーク,85,7.8%,136.0,33,4,14,26,60.0%,60.0%,.091,22,2,1,15,1,0
ツーシーム,68,6.2%,139.7,15,5,13,22,48.5%,36.6%,.250,20,5,1,7,0,0
カーブ,36,3.3%,122.9,5,7,4,15,44.4%,35.7%,.000,6,0,0,2,0,0
スプリット,27,2.5%,139.7,8,3,4,9,55.6%,53.3%,.167,6,1,1,3,0,0
シュート,25,2.3%,142.3,2,2,8,11,48.0%,16.7%,.000,2,0,0,0,1,0
ナックルカーブ,13,1.2%,127.1,2,2,3,4,53.8%,28.6%,1.000,2,2,0,0,0,0
シンカー,10,0.9%,125.7,3,1,1,4,50.0%,60.0%,.000,2,0,0,1,0,0
縦スライダー,7,0.6%,123.6,0,1,2,3,42.9%,0.0%,1.000,1,1,0,0,0,0
パーム,3,0.3%,113.7,0,0,1,1,33.3%,0.0%,.000,1,0,0,0,0,0
スラーブ,2,0.2%,122.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,105.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
