連続項目,フラグ (現状値 / 最高値)
得点,2試合 / 4試合
安打,0試合 / 6試合
無安打,1試合 / 8試合
打点,0試合 / 4試合
本塁打,0試合 / 2試合
出塁,3試合 / 8試合
