NOI396.6,GPA.217,RC23.43,RC273.35,XR25.09,XR273.58,RCAA-0.62,XR+0.92,RCWIN-0.07,XRWIN0.11,BABIP.286
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.14,0.058,19.46,2.81,0.172,21.09,0.233,0.583,1.83,45.1%,
