条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.128,103,94,12,2,0,2,36,7,1,1,0
対左打者,0.211,85,76,16,3,0,1,20,6,1,2,0
