HQS率-,SQS率-,被打率.205,被BABIP.220,被出塁率.270,被長打率.392,K/BB3.07,K/98.06,BB/92.63,HR/91.50,GO/AO0.49,援護率-,IPR3.20,NHB%47.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.83,90.2%,2.42,0.29,0.85,334,7.1,0,0,48.0,15,27,49,
