打率.267,試合90,打席369,打数326,得点30,安打87,内安3,内安率3.4,２Ｂ19,３Ｂ3,本塁6,HR勝敗4-2-0,塁打130,打点26,三振57
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
40,5,0,1,2,5,4,55.6,3,0,5,.246,.345,.399,.744
