左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
31.8% (85),31.8% (85),31.8% (85),25.5% (68),25.5% (68),25.5% (68),42.7% (114),42.7% (114),42.7% (114)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
23.5% (19),16.7% (1),36.1% (65),44.4% (36),0.0% (0),17.8% (32),32.1% (26),83.3% (5),46.1% (83)
