HQS率0.0%,SQS率0.0%,被打率.211,被BABIP.242,被出塁率.268,被長打率.237,K/BB2.50,K/93.97,BB/91.59,HR/90.00,GO/AO1.50,援護率4.50,IPR99.00,NHB%100.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.68,100.0%,4.11,0.48,3.74,54,0.0,12,6,0.1,0,1,1,
