球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,433,41.0%,147.1,52,51,102,140,47.3%,21.5%,.196,112,22,2,27,10,2
スライダー,153,14.5%,130.3,29,18,32,43,51.6%,31.5%,.289,38,11,0,8,0,0
カットボール,115,10.9%,137.3,20,11,32,29,54.8%,26.7%,.280,25,7,0,3,1,0
チェンジアップ,108,10.2%,130.7,23,9,16,37,44.4%,37.1%,.250,28,7,0,5,0,0
フォーク,66,6.3%,137.3,22,4,9,15,53.0%,46.8%,.280,25,7,3,9,0,0
ツーシーム,64,6.1%,139.8,9,3,17,24,45.3%,24.3%,.154,13,2,0,2,0,0
カーブ,40,3.8%,116.8,3,6,9,15,45.0%,15.8%,.333,9,3,0,2,0,1
スプリット,37,3.5%,137.8,10,5,5,14,54.1%,55.6%,.000,7,0,0,4,1,0
シュート,15,1.4%,141.8,3,2,3,5,53.3%,37.5%,.500,2,1,0,0,0,0
ナックルカーブ,13,1.2%,123.4,0,6,2,2,61.5%,0.0%,.200,5,1,0,2,0,0
縦スライダー,4,0.4%,129.8,0,0,2,1,50.0%,0.0%,-,0,0,0,0,0,0
パワーカーブ,3,0.3%,122.0,0,0,0,3,0.0%,-%,-,0,0,0,0,0,0
シンカー,3,0.3%,130.7,2,0,1,0,100.0%,66.7%,-,0,0,0,0,0,0
スラーブ,1,0.1%,112.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
