NOI0.0,GPA.000,RC-0.43,RC27-5.85,XR-0.46,XR27-6.21,RCAA-0.53,XR+-0.56,RCWIN-0.06,XRWIN-0.07,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,0.000,-,0.0%,
