NOI611.1,GPA.308,RC5.15,RC278.70,XR5.00,XR278.44,RCAA2.20,XR+2.02,RCWIN0.25,XRWIN0.23,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.00,0.167,4.29,4.29,0.000,-,0.429,1.143,0.00,46.7%,
