NOI427.6,GPA.229,RC18.52,RC274.00,XR18.06,XR273.90,RCAA2.08,XR+1.53,RCWIN0.24,XRWIN0.18,BABIP.342
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.039,19.22,4.12,0.105,54.00,0.191,0.602,4.20,31.2%,
