球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,262,38.8%,147.5,13,47,54,92,43.5%,10.6%,.354,65,23,1,10,8,2
スライダー,110,16.3%,128.1,17,26,13,38,50.9%,37.0%,.217,23,5,0,7,2,2
カットボール,88,13.0%,137.9,19,17,12,25,54.5%,41.3%,.348,23,8,0,8,1,2
フォーク,86,12.7%,136.0,12,12,6,41,34.9%,36.4%,.000,21,0,0,7,2,0
チェンジアップ,48,7.1%,126.7,13,3,6,18,45.8%,48.1%,.400,10,4,1,2,2,0
カーブ,30,4.4%,115.5,4,6,2,15,40.0%,44.4%,.000,4,0,0,1,0,0
ツーシーム,23,3.4%,141.4,3,3,3,7,39.1%,23.1%,.429,7,3,0,0,0,0
スプリット,8,1.2%,140.8,1,2,1,4,50.0%,50.0%,-,0,0,0,0,0,0
シンカー,6,0.9%,124.3,1,0,2,3,50.0%,33.3%,.000,1,0,0,1,0,0
縦スライダー,4,0.6%,135.0,1,1,0,1,50.0%,50.0%,.000,1,0,0,0,0,0
ナックルカーブ,4,0.6%,126.0,0,2,0,1,50.0%,0.0%,.000,1,0,0,0,0,0
シュート,4,0.6%,144.3,0,0,1,2,25.0%,0.0%,.000,1,0,0,0,0,0
スローカーブ,2,0.3%,92.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
