NOI484.1,GPA.254,RC22.63,RC275.18,XR22.01,XR275.04,RCAA4.81,XR+3.98,RCWIN0.56,XRWIN0.46,BABIP.345
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.44,0.089,11.31,5.03,0.089,78.50,0.204,0.698,2.40,29.8%,
