NOI0.0,GPA.000,RC-0.13,RC27-0.85,XR-0.11,XR27-0.73,RCAA-0.52,XR+-0.51,RCWIN-0.06,XRWIN-0.06,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.00,0.000,-,0.000,0.000,-,25.0%,
