アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,64,25.2%,安打,76,66.7%
フライ,92,36.2%,四死球,35,30.7%
空三振,86,33.9%,失策出塁,2,1.8%
見三振,12,4.7%,野選,1,0.9%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
